genre	total_love_words	total_lust_words	avg_love_per_song	avg_lust_per_song
Rock	291786	99603	1.6688075860609561	0.5696580438898008
Pop	220604	38626	3.532716266854562	0.61855042756942
Electronic	195026	53890	2.891415863602669	0.7989621942179392
R&B	137730	24366	5.793791014639071	1.024987380111055
Folk	128426	31844	2.8330722904855397	0.7024773333921599
Hip-Hop	110086	122194	2.705214527940237	3.002752248488721
Country	106642	19602	2.6296296296296298	0.4833555259653795
Jazz	40711	5890	3.5481087676485967	0.5133344953808611
Blues	35321	3151	2.761178861788618	0.2463258286429018
Classical	26108	3859	2.510143255456206	0.37102201711373906
